"name","region","population","income","lifeExp","democracy","corruption"
"Thailand","asia",67500000,13500,76.9,7,1
"Timor-Leste","asia",1130000,1960,71.6,7,1
"Togo","africa",6680000,1230,59.6,-2,1
"Trinidad and Tobago","americas",1330000,31000,72.7,10,1
"Tunisia","africa",10800000,10100,77,NA,1
"Turkey","europe",73400000,19700,78.2,9,1
"Turkmenistan","asia",5170000,11200,68.4,-9,1
"Uganda","africa",35100000,1630,57.7,-1,1
"Ukraine","europe",45600000,8280,71.1,6,1
"United Arab Emirates","asia",8670000,58400,76.5,-8,0
"United Kingdom","europe",63800000,36500,80.5,10,0
"United States","americas",311000000,49800,78.8,10,0
"Uruguay","americas",3390000,17900,76.4,10,0
"Uzbekistan","asia",29100000,4470,69,-9,1
"Venezuela","americas",29500000,17000,75.4,-3,1
"Vietnam","asia",89400000,4720,73.3,-7,1
"Yemen","asia",24300000,3810,67.7,-2,1
"Zambia","africa",14300000,3360,53.2,7,1
"Zimbabwe","africa",14400000,1660,51.9,1,1
